iso_country,municipality,icao_code,iata_code,coordinates
SB,Honiara,AGGH,HIR,"160.05499267578, -9.4280004501343"
CN,Aba,ZUHY,AHJ,"102.35224, 32.53154"
NR,Yaren District,ANYN,INU,"166.919006, -0.547458"
ACN,Bayanhot,ZBAL,AXF,"105.58858, 38.74831"

PG,Goronka,AYGA,GKA,"145.391998291, -6.081689834590001"
PG,Gurney,AYGN,GUR,"150.333999634, -10.3114995956"
PG,Popondetta,AYGR,PNP,"148.309005737, -8.80453968048"
PG,Hoskins,AYHK,HKN,"150.40499877929688, -5.462170124053955"
PG,Kerema,AYKM,KMA,"145.770996094, -7.96361017227"
